sentence_1,sentence_2,similarity
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","Once they left, her Fairy Godmother appeared and helped Cinderella go to the ball with a bit of magic that would only last until midnight.",0.002281716582289574
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","The story of Cinderella tells of a kindhearted young woman who was treated cruelly by her stepmother and sisters, but, never the less, kept a humble attitude.",0.0339856637897798
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","While Cinderella’s sisters made her help them get ready for the ball, not once did they ask her if she would like to go with them.",0.002689268386444267
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","The story of Cinderella tells of a kindhearted young woman who was treated cruelly by her stepmother and sisters, but, never the less, kept a humble attitude.",0.0339856637897798
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","The story of Cinderella tells of a kindhearted young woman who was treated cruelly by her stepmother and sisters, but, never the less, kept a humble attitude.",0.0339856637897798
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","While Cinderella’s sisters made her help them get ready for the ball, not once did they ask her if she would like to go with them.",0.002689268386444267
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","One day, the king decided to throw a ball and invited all the young maidens in the kingdom.",1.0000000000000002
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","At the ball, Cinderella caught the eye of the prince, as she was the most beautiful girl there, and they danced all night.",0.0026327580804123034
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","Once they left, her Fairy Godmother appeared and helped Cinderella go to the ball with a bit of magic that would only last until midnight.",0.002281716582289574
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","While Cinderella’s sisters made her help them get ready for the ball, not once did they ask her if she would like to go with them.",0.002689268386444267
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","Once they left, her Fairy Godmother appeared and helped Cinderella go to the ball with a bit of magic that would only last until midnight.",0.002281716582289574
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","At the ball, Cinderella caught the eye of the prince, as she was the most beautiful girl there, and they danced all night.",0.0026327580804123034
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","Once they left, her Fairy Godmother appeared and helped Cinderella go to the ball with a bit of magic that would only last until midnight.",0.002281716582289574
"One day, the king decided to throw a ball and invited all the young maidens in the kingdom.","At the ball, Cinderella caught the eye of the prince, as she was the most beautiful girl there, and they danced all night.",0.0026327580804123034
